team,goals_for,goals_against
Abkhazia,0.3598379489935146,3.6772918806776254
Afghanistan,0.6622578512411577,2.4091787209622098
Albania,1.5651840067341614,0.712388443555101
Alderney,0.1461671962552453,18.53831153076107
Algeria,3.487025995820539,0.48673003956948274
Ambazonia,0.0,14.999999999999996
American Samoa,0.12442614335502256,29.93360835728776
Andorra,0.3265073582217933,2.3917815135250264
Angola,1.5116767056544356,0.6581622761446488
Anguilla,0.09660108553517259,16.562101504846957
Antigua and Barbuda,0.1969154203063559,10.753722818177623
Arameans Suryoye,0.3390437889848572,6.003762189324256
Argentina,3.2214204501941683,0.3408703381860496
Armenia,1.2875664158989146,1.7205038145806595
Artsakh,0.5076533598746197,7.55747174887969
Aruba,0.9232189481272195,3.3531014175816773
Australia,3.36996285620094,0.43459229891980383
Austria,3.174945174976555,0.6245672450203347
Aymara,0.09997604380607088,9.998802190303543
Azerbaijan,0.9840092620263285,1.654800442144428
Bahamas,0.18802903670120866,16.732140532898892
Bahrain,1.5041878123628765,0.9086984392692603
Bangladesh,0.6514645245642652,2.4707288440249684
Barawa,0.226509806821471,18.67538958255171
Barbados,0.9693475996566215,3.6682080974105187
Belarus,1.0444102238014021,1.2973875916156348
Belgium,4.270166293182257,0.500062251295691
Belize,0.8737887373919374,2.6012527012582143
Benin,1.2673891003627167,0.9046136176972785
Bermuda,1.3564650976524484,3.0023900312015313
Bhutan,0.30028259701756205,6.24818405317117
Biafra,0.13337592041911092,1.665601989522227
Bolivia,1.3479224669503076,1.5208253768507205
Bonaire,0.2785627890411208,9.912839610241399
Bosnia and Herzegovina,1.4125104522092227,1.5316390664815727
Botswana,0.8016593254351057,1.3801850660716664
Brazil,3.281001054330824,0.3767714638031896
British Virgin Islands,0.20829460736794886,11.816153565648394
Brittany,0.20009582477021712,7.498802190372287
Brunei,0.4943959690353639,5.501616221307313
Bulgaria,1.4714081612014736,1.2787444822560536
Burkina Faso,2.217850660203631,0.6530429156702217
Burundi,1.0984564956054443,1.3301379322933964
Cambodia,0.8178038846784292,3.5110110692754457
Cameroon,2.201126495966672,0.5143106348119171
Canada,3.2949570091856284,0.5549011393933535
Cape Verde,1.672347589987657,0.6787329564571307
Cascadia,0.5667996715891105,9.165207056016056
Cayman Islands,0.1824542898141918,10.474980967039333
Central African Republic,0.22851507282941355,9.187100678428234
Chad,0.47407044463092485,2.1600448344697645
Chagos Islands,0.3229500789679016,31.83044959662134
Chameria,0.4227791132078652,6.692213649821853
Chile,1.5051439194601113,0.8940747734956488
China PR,0.2652213912145805,6.389541885169511
Colombia,2.5329678666379505,0.4943240619415838
Comoros,1.0227976973117199,1.2818135124367283
Congo,0.9024567852247964,1.7736162241021862
Cook Islands,0.1294976367418519,13.070471873539505
Corsica,0.2999520876148915,2.5011978096277137
Costa Rica,2.3959840823375163,0.7282474680288127
County of Nice,0.43254757967364593,7.446642695761474
Crimea,0.2800919377558657,10.999715018672106
Croatia,3.2559316063788186,0.5484039839791615
Cuba,1.2018221263500455,1.8006749707861704
Curaçao,2.5204395554101753,0.8464210726300929
Cyprus,0.9716002281421956,1.8115003657388273
Czech Republic,2.5560030005918217,0.7288184907823918
DR Congo,2.1129709429876593,0.4927777888104714
Darfur,0.02308485107706916,71.76003482156095
Denmark,3.248809871203156,0.5365883929140208
Djibouti,0.40459791860608996,4.661612603762788
Dominica,0.22238049874230637,10.239535787373955
Dominican Republic,0.4344979460346564,5.514838793601174
Délvidék,0.39990417522978294,7.501197809627714
Ecuador,1.9421453221054554,0.5064062915926791
Egypt,2.437822091827514,0.4494032717555495
El Salvador,1.383706191448989,0.9993755540677424
Ellan Vannin,0.4266206897527335,7.036063049207525
England,4.465098231689439,0.3118032889212355
Equatorial Guinea,0.2064124875117905,6.165662822123925
Eritrea,0.5678743604382861,2.2755499738658047
Estonia,0.948084364546638,1.7815710741290636
Eswatini,0.725633250284528,1.886485667219538
Ethiopia,0.9360804240957606,1.5287086064896347
Falkland Islands,0.17399737404843788,16.926802081519632
Faroe Islands,0.8858431706091326,1.5617610239602073
Felvidék,0.225566392012929,7.69275986500945
Fiji,1.7344628900989023,1.9138017597702908
Finland,1.6043376833174412,0.9325833132712746
France,4.028934855935183,0.42435821273598945
Franconia,0.0,30.0
French Guiana,0.32879636592345163,6.685999285645254
Frøya,0.1963744677912079,22.466465208335446
Gabon,1.7435115393701952,0.9990841223832578
Gambia,0.2957900419569525,6.797735755923218
Georgia,2.053587136317822,0.9489054235414442
German DR,0.3185960659200323,5.793043145319612
Germany,4.6150898029448335,0.5445601431363712
Ghana,2.1578051868368187,0.6359535105773398
Gibraltar,0.3401159037188293,4.8861561486298175
Gotland,0.5539239299220237,9.834539877716303
Gozo,0.20202887481024345,6.20287551259499
Greece,2.3750706219249933,0.5870204275160125
Greenland,0.39232190729091027,9.570976428401393
Grenada,1.0153434904710983,2.5923264560204644
Guadeloupe,0.3744558178309188,5.639844799263761
Guam,0.5723229081304037,5.411464037587962
Guatemala,2.2687151007402853,0.9022330657882527
Guernsey,0.42657004166279083,4.513839321855967
Guinea,1.8275586029746966,0.7843099036023053
Guinea-Bissau,0.7139244503518517,1.5442557973270896
Guyana,1.9459981185796076,1.812658961600616
Găgăuzia,0.13336527237396464,14.999200886318421
Haiti,3.1561972511339773,0.8729121267794101
Hitra,0.5162281963965272,14.199611947389732
Hmong,0.39996798444356213,16.66613383925818
Honduras,1.8972600410022296,0.8990495832189322
Hong Kong,1.3029016370895525,1.792217065891991
Hungary,2.2692672824938405,0.8669074704614229
Iceland,2.0826125718665063,1.1974619483478086
India,1.1388923311121857,1.103342848687908
Indonesia,1.8302340127824204,1.3966929030285284
Iran,3.3213587182454303,0.4346720310443483
Iraq,1.9573267342126277,0.6470672848252154
Iraqi Kurdistan,0.45276701959014914,4.500495523177862
Isle of Man,0.7667894209470241,6.502201422704942
Isle of Wight,0.39434177186294606,5.260009779185024
Israel,2.3054839805296576,1.2090462238959867
Italy,3.354408559822585,0.56274697340425
Ivory Coast,2.9267924464667465,0.41646169014961276
Jamaica,2.0887196989929055,0.7939708789773552
Japan,4.283476783324506,0.4128590347207674
Jersey,0.5422084714146959,4.71035682065755
Jordan,2.6070796717608955,0.5846578971488667
Kabylia,0.26700731208215406,12.488827110429796
Kazakhstan,1.198415406717015,1.4220747662475692
Kenya,1.3865549141483047,0.9437240388149679
Kernow,0.4,5.0
Kiribati,0.10026645020855506,56.098920578252475
Kosovo,1.9519712646354588,0.818539417190713
Kuwait,1.281207720425757,1.3058581809956995
Kyrgyzstan,1.5930919552500247,1.3598477716713038
Kárpátalja,0.46182241591220374,5.75511087448669
Laos,0.6082185181304416,4.512501906904897
Latvia,0.9646060617752031,1.4944623859974786
Lebanon,1.3893656904161265,0.9212901098105035
Lesotho,0.6772191092233064,1.6853183675510666
Liberia,1.0833924419459193,1.34057116202497
Libya,1.120588531176782,0.9531617207794842
Liechtenstein,0.18335566254128582,4.600733567820185
Lithuania,0.7703128801017362,1.696133745556338
Luxembourg,1.0808040640665255,1.442536156748939
Macau,0.31851104508705924,6.619315656682702
Madagascar,1.3288223882295465,1.1154695505769483
Malawi,0.9118888039186979,1.1800541643491105
Malaysia,1.7887506818885457,1.315835478833494
Maldives,0.7589723873649642,2.844792803688693
Mali,2.116311035168136,0.40485833500124774
Malta,0.589601744340666,2.1679056888544426
Mapuche,0.3000718685817874,5.0
Marshall Islands,0.20009582477021715,17.498802190372285
Martinique,0.2349885565677996,7.392616602580069
Matabeleland,0.16356979946162298,7.263690036590822
Maule Sur,0.2,0.0
Mauritania,0.8356554390719176,1.1004479877667184
Mauritius,0.6146025337539794,2.005916806640658
Mayotte,0.23281249549440758,4.343166961574556
Menorca,0.3705136580199846,7.163900415850533
Mexico,2.7522585380790865,0.44608539154598087
Micronesia,0.0,64.97245139785527
Moldova,0.7547653230304335,2.1057855165673156
Monaco,0.34983231527848013,46.282341933328226
Mongolia,0.5564426831487056,3.7966390155743808
Montenegro,1.4849595840684597,1.1362582674077146
Montserrat,0.7461607562133769,2.8867575954004514
Morocco,3.671512760390841,0.2650692481518659
Mozambique,1.3160839016176333,1.115659175455274
Myanmar,0.8544427611059142,3.1349504704548328
Namibia,0.9784242292915318,1.1396174933623817
Nepal,0.530488967564488,2.8458906252610756
Netherlands,4.439762095665744,0.5261666184040134
New Caledonia,1.5127897053942563,1.8481835892104839
New Zealand,3.4030379296079114,0.591128719813214
Nicaragua,1.6398790141901862,1.2177864043855007
Niger,1.1126208797441175,1.2993087599407327
Nigeria,2.9119473447728894,0.4504789359029251
Niue,0.0,82.50598904813856
North Korea,1.6524170929701354,1.285985868402229
North Macedonia,1.3250778155264042,1.4800240685272894
North Vietnam,0.6392564243750862,7.00929848412123
Northern Cyprus,0.572955483039588,3.774235168093089
Northern Ireland,0.21580098080145493,5.953118577278058
Northern Mariana Islands,0.22954435317314437,20.087497400316963
Norway,3.922289164960728,0.587814669135473
Occitania,0.49583454321555775,4.517472726824452
Oman,1.5854418809217634,0.7852772617173913
Orkney,0.38085254265142066,9.530849384764966
Padania,0.5280374226484909,4.240796326222845
Pakistan,0.2701111316721114,3.6515320168092638
Palestine,1.7069015075611906,0.9524659371834996
Panama,2.623519478088388,0.703370539315942
Panjab,0.4870894279762492,7.192328552876642
Papua New Guinea,0.3306791774866425,7.177006411208445
Paraguay,1.5112185587286477,0.712051568658601
Parishes of Jersey,0.9002156057453622,7.5005989048482276
Peru,1.193548027568293,0.8294347793431617
Philippines,1.516111375106043,1.471460090862918
Poland,2.7819816824404935,0.8179890104788556
Portugal,4.371228508096825,0.4312305734827489
Provence,0.608344932624038,14.490033355135692
Puerto Rico,2.022382702261503,1.5076838248810356
Qatar,2.2743332797347144,0.8870182388063814
Raetia,0.6609092666509025,16.130778576060383
Republic of Ireland,0.23116489265083173,5.812327735803781
Republic of St. Pauli,0.49982025542444336,6.252845209855192
Rhodes,0.32794458009748323,4.865430703968841
Romani people,0.3933970700627994,15.165652380611256
Romania,2.4294546509385437,0.6554798030527413
Russia,3.089638910054226,0.6175770867992542
Rwanda,0.9991987135517245,0.968060832279355
Réunion,0.3197340994473382,2.937148277690048
Saare County,0.3137927065770618,11.373462141662015
Saarland,0.19430243582284606,10.070196641587161
Saint Helena,0.10905281947278961,23.15492830215302
Saint Kitts and Nevis,0.28924101684482734,9.928587497307696
Saint Lucia,0.8912658043905292,2.8827642268045905
Saint Martin,0.37607085757868647,8.707395260801247
Saint Pierre and Miquelon,0.06549104317541467,57.02924960488604
Saint Vincent and the Grenadines,0.3128851536510102,10.667744392210745
Samoa,0.8815156361091704,5.249175485205434
San Marino,0.15206757962140902,6.393142525450976
Sark,0.0,87.49371053123606
Saudi Arabia,1.964609354008142,0.6661236735163204
Scotland,2.505414794631974,0.7402289673433372
Sealand,0.33331206274641145,24.9952072311525
Senegal,3.140862172392494,0.3484869378337459
Serbia,2.456008247375983,0.6984904702219297
Seychelles,0.27622557998009156,5.079284836407735
Shetland,0.4092686977152593,9.075607226716045
Sierra Leone,1.2570552921443054,1.1195152073375276
Singapore,1.2074087248435923,1.9634449666774163
Sint Maarten,0.31205238581780925,12.742055315085894
Slovakia,2.1010038078853452,0.743840613269209
Slovenia,1.85029253160201,0.6760435047679922
Solomon Islands,0.3963529550347144,9.587989495076211
Somalia,0.2405113317896279,3.1956183675967718
Somaliland,0.500467164341063,14.99101635736924
South Africa,2.1084649338541257,0.606315910897895
South Korea,3.2250001023666393,0.4498734877089964
South Ossetia,0.346283807905718,9.819508779862453
South Sudan,0.5388412520436487,2.1935152117153947
South Yemen,0.06666664626136469,13.331735998885645
Spain,4.868596999956852,0.3948168559682793
Sri Lanka,0.547008891658129,2.9985947372229322
Sudan,0.829703630406119,1.198213758984397
Suriname,1.957505266376476,0.9782765157229067
Sweden,2.8257125557609677,0.7439127911273109
Switzerland,3.0742856765197764,0.6309021073206634
Syria,1.971382403353187,0.819392032517419
Székely Land,0.47409665202273427,9.99692564668402
Sápmi,0.35279908134102017,10.337569971893297
São Tomé and Príncipe,0.1302141606634391,13.222069314412499
Tahiti,1.291601385695408,1.956769579122083
Taiwan,0.1981940141860007,13.251818840827369
Tajikistan,1.6363569521078245,0.9404628071835781
Tamil Eelam,0.47381207734050834,10.643394415283051
Tanzania,0.9674910935406342,0.9666906085374325
Thailand,2.366744415533285,0.9022952639953291
Tibet,0.3090455032685804,20.35635647671039
Ticino,0.2,40.0
Timor-Leste,0.3244979691655397,7.161426751630106
Togo,1.0989189982623235,1.0494673908856436
Tonga,0.3377967058833653,13.032847407604647
Trinidad and Tobago,0.32734087929346734,8.333212567709063
Tunisia,2.386670638871617,0.44114789725467474
Turkey,0.3736546015353841,6.029960348039311
Turkmenistan,1.2828504246962922,1.7198493984703018
Turks and Caicos Islands,0.21632403161003166,15.147269907290486
Tuvalu,0.24911342448022814,24.02116597511398
Two Sicilies,0.09996392722306802,22.47288500084434
