fifa_ranking,name,Squad size,Avg. age,total_market_value,Confederation,Points
67,North Macedonia,26,28.7,38700000.0,UEFA,1372
68,UAE,24,26.7,31130000.0,AFC,1370
69,Cape Verde,27,29.4,54330000.0,CAF,1366
70,N. Ireland,28,25.4,79880000.0,UEFA,1362
71,Jamaica,27,27.6,53850000.0,CONCACAF,1358
72,Georgia,23,26.4,195300000.0,UEFA,1350
73,Finland,23,25.9,41600000.0,UEFA,1346
74,Ghana,29,26.4,220780000.0,CAF,1346
75,Iceland,23,27.8,74000000.0,UEFA,1345
76,Bolivia,28,25.0,19280000.0,CONMEBOL,1329
77,Israel,25,26.3,86900000.0,UEFA,1328
78,Kosovo,25,27.7,114280000.0,UEFA,1319
79,Oman,22,28.6,6100000.0,AFC,1313
80,Guinea,25,25.1,73000000.0,CAF,1300
81,Montenegro,26,28.4,60130000.0,UEFA,1296
82,Curaçao,26,28.0,28680000.0,CONCACAF,1295
83,Haiti,26,27.5,56830000.0,CONCACAF,1292
84,Syria,18,27.2,7200000.0,AFC,1289
85,New Zealand,26,28.1,30700000.0,OFC,1282
86,Bulgaria,24,25.1,29750000.0,UEFA,1279
87,Gabon,35,27.5,34450000.0,CAF,1273
88,Uganda,28,28.1,8650000.0,CAF,1264
89,Angola,27,29.4,52500000.0,CAF,1263
90,Benin,24,26.3,16900000.0,CAF,1259
91,Bahrain,24,29.6,6230000.0,AFC,1259
92,Zambia,23,26.2,12900000.0,CAF,1256
93,Thailand,23,28.0,6380000.0,AFC,1252
94,China,26,26.7,12480000.0,AFC,1252
95,Palestine,23,27.2,6980000.0,AFC,1245
96,Guatemala,21,25.2,5400000.0,CONCACAF,1243
97,Belarus,22,26.9,14000000.0,UEFA,1236
98,Luxembourg,24,26.6,32900000.0,UEFA,1228
99,Vietnam,23,28.1,6380000.0,AFC,1226
100,El Salvador,28,26.1,6960000.0,CONCACAF,1225
101,Mozambique,28,29.2,30100000.0,CAF,1224
102,Trinidad,25,24.8,10080000.0,CONCACAF,1223
103,Tajikistan,24,26.2,7700000.0,AFC,1222
104,Madagascar,25,27.8,8279999.999999999,CAF,1204
105,Equat. Guinea,19,26.4,12050000.0,CAF,1195
106,Armenia,25,24.9,40380000.0,UEFA,1191
107,Kyrgyzstan,32,25.5,7580000.0,AFC,1191
108,Lebanon,23,28.9,6430000.0,AFC,1188
109,Comoros,21,24.0,3280000.0,CAF,1188
110,Kazakhstan,27,26.5,17700000.0,UEFA,1183
111,Kenya,24,26.1,10930000.0,CAF,1182
112,Libya,19,26.5,11430000.0,CAF,1182
113,Tanzania,27,26.3,7530000.0,CAF,1180
114,Niger,23,26.4,9980000.0,CAF,1180
115,Mauritania,26,26.7,24300000.0,CAF,1171
116,The Gambia,22,25.4,72580000.0,CAF,1160
117,Sudan,27,29.2,3250000.0,CAF,1157
118,North Korea,29,25.8,6850000.0,AFC,1151
119,Sierra Leone,24,24.3,13380000.0,CAF,1149
120,Namibia,23,27.2,2080000.0,CAF,1149
121,Togo,25,25.6,29680000.0,CAF,1147
122,Indonesia,23,26.5,30580000.0,AFC,1145
123,Faroe Islands,23,27.4,4950000.0,UEFA,1137
124,Azerbaijan,27,27.6,16230000.0,UEFA,1137
125,Suriname,26,29.1,37650000.0,CONCACAF,1132
126,Cyprus,26,25.9,19100000.0,UEFA,1128
127,Malawi,26,26.3,2049999.9999999998,CAF,1128
128,Rwanda,29,27.2,6900000.0,CAF,1127
129,Estonia,24,24.2,7200000.0,UEFA,1121
130,Zimbabwe,23,26.7,7600000.0,CAF,1118
131,Nicaragua,23,27.7,2580000.0,CONCACAF,1115
132,Guinea-Bissau,24,26.5,41450000.0,CAF,1108
133,Congo,23,24.5,2600000.0,CAF,1106
134,Kuwait,23,28.5,4350000.0,AFC,1105
135,Philippines,24,28.2,6430000.0,AFC,1094
136,India,23,28.8,4800000.0,AFC,1091
137,Latvia,27,26.9,17650000.0,UEFA,1091
138,Malaysia,28,28.6,7130000.0,AFC,1086
139,Central Africa,26,25.8,6980000.0,CAF,1084
140,Liberia,26,24.4,15800000.0,CAF,1079
141,Turkmenistan,22,27.6,2950000.0,AFC,1079
142,Burundi,27,26.5,12430000.0,CAF,1078
143,Dominican Rep.,23,24.4,18030000.0,CONCACAF,1078
144,Ethiopia,23,27.5,2780000.0,CAF,1072
145,Lesotho,22,28.2,675000.0,CAF,1067
146,Botswana,26,30.0,3080000.0,CAF,1064
147,Singapore,28,28.1,4380000.0,AFC,1060
148,Lithuania,23,27.3,18550000.0,UEFA,1058
149,Yemen,23,26.7,1850000.0,AFC,1049
150,Guyana,26,26.3,1500000.0,CONCACAF,1049
151,New Caledonia,25,28.7,5200000.0,OFC,1037
152,St. Kitts/Nevis,23,27.4,575000.0,CONCACAF,1036
153,Solomons,23,25.5,450000.0,OFC,1032
154,Fiji,26,28.3,2450000.0,OFC,1030
155,Hong Kong,23,28.5,3600000.0,AFC,1027
156,Puerto Rico,24,23.4,1180000.0,CONCACAF,1026
157,Tahiti,18,29.1,60000.0,OFC,1019
158,Myanmar,23,25.9,3130000.0,AFC,1012
159,Moldova,26,25.8,10530000.0,UEFA,1004
160,Vanuatu,24,29.6,585000.0,OFC,997
161,Malta,27,27.7,14750000.0,UEFA,988
162,Antigua and B.,23,23.1,650000.0,CONCACAF,987
163,Grenada,41,25.3,1750000.0,CONCACAF,983
164,Cuba,24,23.9,2100000.0,CONCACAF,981
165,Eswatini,24,26.5,1080000.0,CAF,979
166,Bermuda,28,27.3,375000.0,CONCACAF,977
167,Saint Lucia,21,23.5,250000.0,CONCACAF,977
169,Afghanistan,18,22.4,325000.0,AFC,973
170,South Sudan,25,25.3,1600000.0,CAF,971
171,St. Vincent,33,25.2,475000.0,CONCACAF,968
172,Maldives,30,30.8,950000.0,AFC,955
173,Andorra,26,29.3,3340000.0,UEFA,945
174,Chinese Taipei,23,26.3,1920000.0,AFC,924
175,Montserrat,19,24.2,375000.0,CONCACAF,917
176,Nepal,23,27.4,1330000.0,AFC,915
177,Cambodia,23,25.6,2480000.0,AFC,912
178,Mauritius,23,28.3,850000.0,CAF,911
179,Barbados,24,24.6,200000.0,CONCACAF,910
180,Belize,24,26.9,375000.0,CONCACAF,907
181,Bangladesh,23,25.8,7740000.0,AFC,900
183,Chad,24,24.3,6100000.0,CAF,897
184,Eritrea,24,25.5,3900000.0,CAF,887
185,Laos,23,23.1,1320000.0,AFC,885
186,Bhutan,23,25.4,690000.0,AFC,881
187,Mongolia,19,26.1,500000.0,AFC,880
189,Aruba,23,24.6,125000.0,CONCACAF,877
190,Samoa,23,24.5,350000.0,OFC,876
191,Sri Lanka,23,27.5,885000.0,AFC,872
193,Brunei,22,27.3,680000.0,AFC,863
194,Macau,24,24.9,335000.0,AFC,858
196,São Tomé and P.,24,25.7,1430000.0,CAF,855
197,Djibouti,20,26.2,575000.0,CAF,854
198,Somalia,19,25.9,860000.0,CAF,839
199,Tonga,23,23.8,10000.0,OFC,836
200,Timor-Leste,23,23.9,925000.0,AFC,826
201,Guam,25,23.3,240000.0,AFC,825
202,Pakistan,28,24.9,3440000.0,AFC,825
203,Gibraltar,23,23.7,1380000.0,UEFA,810
204,Seychelles,23,25.1,1030000.0,CAF,804
205,Turks-Caicos,16,21.9,50000.0,CONCACAF,804
206,Liechtenstein,23,26.3,600000.0,UEFA,804
209,US Virgin,23,24.6,125000.0,CONCACAF,780
211,San Marino,24,24.9,1120000.0,UEFA,726
