fifa_ranking,name,Squad size,Avg. age,total_market_value,Confederation,Points
1,France,26,27.0,1470000000.0,UEFA,1877
2,Spain,27,26.7,1310000000.0,UEFA,1876
3,Argentina,29,28.1,761200000.0,CONMEBOL,1875
4,England,35,27.3,1620000000.0,UEFA,1826
5,Portugal,26,27.1,864500000.0,UEFA,1764
6,Brazil,26,29.2,908700000.0,CONMEBOL,1761
7,Netherlands,25,27.1,766000000.0,UEFA,1758
8,Morocco,29,25.3,456000000.0,CAF,1756
9,Belgium,26,27.6,558200000.0,UEFA,1735
10,Germany,25,28.1,773500000.0,UEFA,1730
11,Croatia,26,28.3,357300000.0,UEFA,1717
12,Italy,28,26.7,833500000.0,UEFA,1700
13,Colombia,26,29.8,300500000.0,CONMEBOL,1693
14,Senegal,28,26.9,474000000.0,CAF,1689
15,Mexico,12,26.9,79800000.0,CONCACAF,1681
16,USA,27,26.4,356700000.0,CONCACAF,1673
17,Uruguay,28,28.5,362450000.0,CONMEBOL,1673
18,Japan,26,27.7,262899999.99999997,AFC,1660
19,Switzerland,17,28.8,222300000.0,UEFA,1649
20,Denmark,24,26.3,368000000.0,UEFA,1621
21,Iran,30,29.3,34680000.0,AFC,1615
22,Turkiye,35,27.1,522700000.00000006,UEFA,1599
23,Ecuador,32,26.0,366730000.0,CONMEBOL,1595
24,Austria,26,28.5,257899999.99999997,UEFA,1593
25,South Korea,26,28.2,140200000.0,AFC,1589
26,Nigeria,23,27.6,209080000.0,CAF,1585
27,Australia,26,27.2,51430000.0,AFC,1581
28,Algeria,26,26.0,227850000.0,CAF,1564
29,Egypt,26,29.1,107800000.0,CAF,1563
30,Canada,26,26.6,129550000.00000001,CONCACAF,1556
31,Norway,24,27.1,504000000.0,UEFA,1551
32,Ukraine,26,26.5,288200000.0,UEFA,1547
33,Panama,23,29.7,32400000.0,CONCACAF,1541
34,Ivory Coast,26,25.6,514900000.0,CAF,1533
35,Poland,25,27.7,214000000.0,UEFA,1528
36,Russia,32,26.2,215750000.0,UEFA,1526
37,Wales,25,27.0,198950000.0,UEFA,1524
38,Sweden,26,27.4,431380000.0,UEFA,1515
39,Serbia,28,26.8,296500000.0,UEFA,1509
40,Paraguay,25,28.9,134450000.0,CONMEBOL,1504
41,Czech Republic,24,28.1,176800000.0,UEFA,1501
42,Hungary,29,25.6,210300000.0,UEFA,1501
43,Scotland,26,28.7,198150000.0,UEFA,1498
44,Tunisia,26,26.6,67550000.0,CAF,1483
45,Cameroon,24,23.6,197400000.0,CAF,1481
46,DR Congo,26,28.5,153400000.0,CAF,1478
47,Greece,24,26.6,288100000.0,UEFA,1476
48,Slovakia,27,28.7,130250000.0,UEFA,1474
49,Venezuela,28,26.5,62780000.0,CONMEBOL,1468
50,Uzbekistan,40,27.1,79280000.0,AFC,1465
51,Costa Rica,23,24.9,18700000.0,CONCACAF,1460
52,Mali,25,25.7,35700000.0,CAF,1459
53,Peru,24,26.9,28750000.0,CONMEBOL,1456
54,Chile,26,25.3,72700000.0,CONMEBOL,1455
55,Qatar,25,27.9,17930000.0,AFC,1455
56,Romania,26,27.8,97200000.0,UEFA,1451
57,Iraq,28,26.6,18680000.0,AFC,1447
58,Slovenia,25,27.0,142850000.0,UEFA,1446
59,Ireland,24,25.5,139480000.0,UEFA,1437
60,South Africa,23,26.9,41150000.0,CAF,1430
61,Saudi Arabia,23,28.0,27630000.0,AFC,1421
62,Burkina Faso,24,25.0,121030000.0,CAF,1412
63,Jordan,26,27.1,15980000.0,AFC,1391
64,Albania,23,28.3,81750000.0,UEFA,1388
65,Bosnia and Herzegovina,26,26.8,130900000.0,UEFA,1386
66,Honduras,26,25.3,16300000.0,CONCACAF,1380
